"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","3","Same as the National average","Above the National average","Same as the National average","Below the National average","Same as the National average","Same as the National average","Same as the National average","92.48387096774194","13.95"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","3","Below the National average","Same as the National average","Above the National average","Same as the National average","Same as the National average","Above the National average","Below the National average","89.73529411764706","15.200000000000001"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","2","Below the National average","Same as the National average","Same as the National average","Below the National average","Same as the National average","Above the National average","Same as the National average","82.75","14.4"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","3","Same as the National average","Same as the National average","Below the National average","Same as the National average","Same as the National average","Above the National average","Not Available","79.81481481481481","16.299999999999997"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","3","Same as the National average","Not Available","Same as the National average","Not Available","Same as the National average","Above the National average","Not Available","79.61538461538461","15.8"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","2","Same as the National average","Below the National average","Same as the National average","Below the National average","Below the National average","Same as the National average","Same as the National average","66.71428571428571","13.557142857142859"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","3","Below the National average","Same as the National average","Same as the National average","Same as the National average","Same as the National average","Above the National average","Same as the National average","82.0","17.027272727272727"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","3","Same as the National average","Above the National average","Above the National average","Below the National average","Above the National average","Below the National average","Below the National average","93.47826086956522","13.885714285714284"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","2","Below the National average","Below the National average","Below the National average","Below the National average","Same as the National average","Above the National average","Below the National average","78.375","15.354545454545455"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","4","Same as the National average","Same as the National average","Same as the National average","Above the National average","Above the National average","Above the National average","Same as the National average","83.91304347826087","14.100000000000001"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","3","Same as the National average","Not Available","Same as the National average","Same as the National average","Same as the National average","Same as the National average","Not Available","82.0","15.757142857142856"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","3","Below the National average","Above the National average","Same as the National average","Below the National average","Above the National average","Below the National average","Above the National average","97.0","14.464285714285714"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","3","Same as the National average","Above the National average","Above the National average","Same as the National average","Above the National average","Same as the National average","Same as the National average","92.6","13.55714285714286"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","4","Same as the National average","Above the National average","Above the National average","Above the National average","Same as the National average","Above the National average","Same as the National average","78.38095238095238","13.857142857142858"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL","36278","4","Same as the National average","Not Available","Same as the National average","Not Available","Same as the National average","Same as the National average","Not Available","84.93333333333334","15.12857142857143"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","3","Same as the National average","Above the National average","Below the National average","Above the National average","Same as the National average","Below the National average","Below the National average","100.45833333333333","14.178571428571427"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","4","Same as the National average","Same as the National average","Same as the National average","Above the National average","Below the National average","Same as the National average","Not Available","88.38095238095238","14.344444444444443"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","3","Below the National average","Above the National average","Same as the National average","Above the National average","Above the National average","Same as the National average","Same as the National average","85.45833333333333","15.141666666666666"
